ADATE,ALT
9/11/1990,35784
4/15/1992,35784
10/27/1987,54810
10/4/1978,35784
6/15/1974,35784
7/28/1974,35784
7/24/1977,35784
2/21/1983,35784
4/13/1983,35784
9/14/1983,35784
4/13/1984,35784
8/19/1984,35784
9/1/1984,35784
12/16/1978,0
9/7/1979,35784
11/14/1985,35784
2/2/1986,35784
10/23/1987,35784
11/5/1987,35784
12/21/1987,35784
9/21/1988,35784
8/12/1984,35784
9/30/1984,35784
12/7/1984,35784
12/8/1984,35784
12/19/1984,35784
12/20/1984,35784
1/20/1985,35784
3/8/1985,35784
3/30/1985,35784
10/21/1985,35784
11/17/1985,35784
1/30/1986,35784
2/21/1986,35784
2/24/1986,35784
3/5/1986,35784
4/2/1986,35784
4/13/1986,35784
9/4/1987,35784
9/9/1987,35784
10/15/1987,35784
6/7/1988,35784
1/22/1989,35784
4/17/1989,35784
4/19/1989,35784
11/11/1982,0
4/9/1983,35784
5/6/1983,35784
6/16/1983,35784
7/28/1983,35784
10/11/1983,35784
10/19/1983,35784
10/25/1983,35784
10/31/1983,35784
11/3/1983,35784
11/10/1983,35784
12/9/1983,35784
12/12/1983,35784
12/13/1983,35784
12/26/1983,35784
3/2/1984,35784
3/3/1984,35784
3/3/1984,35784
3/7/1984,35784
3/23/1984,35784
3/29/1984,35784
3/31/1984,35784
4/2/1984,35784
4/3/1984,35784
4/28/1984,35784
4/29/1984,35784
5/23/1984,35784
6/5/1984,35784
6/18/1984,35784
7/15/1984,35784
7/17/1984,35784
8/5/1984,35784
9/11/1984,35784
9/24/1984,35784
9/24/1984,35784
9/27/1984,35784
10/7/1984,35784
10/9/1984,35784
10/10/1984,35784
10/11/1984,35784
10/12/1984,35784
10/13/1984,35784
10/14/1984,35784
10/17/1984,35784
10/22/1984,35784
10/23/1984,35784
10/24/1984,35784
10/24/1984,35784
10/25/1984,35784
11/2/1984,35784
11/7/1984,35784
11/19/1984,35784
11/24/1984,35784
11/26/1984,35784
12/4/1984,35784
12/4/1984,35784
12/5/1984,35784
12/6/1984,35784
12/7/1984,35784
12/13/1984,35784
12/17/1984,35784
12/19/1984,35784
12/19/1984,35784
12/20/1984,35784
1/10/1985,35784
1/13/1985,35784
1/21/1985,35784
1/23/1985,35784
1/23/1985,35784
1/26/1985,35784
1/29/1985,35784
1/31/1985,35784
2/1/1985,35784
2/7/1985,35784
2/9/1985,35784
2/12/1985,35784
2/12/1985,35784
2/13/1985,35784
2/14/1985,35784
2/14/1985,35784
2/17/1985,35784
2/18/1985,35784
2/27/1985,35784
2/28/1985,35784
2/28/1985,35784
3/2/1985,35784
3/6/1985,35784
3/10/1985,35784
4/3/1985,35784
4/9/1985,35784
4/28/1985,35784
6/15/1985,35784
7/7/1985,35784
7/13/1985,35784
7/21/1985,35784
9/18/1985,35784
9/26/1985,35784
9/26/1985,35784
9/27/1985,35784
9/27/1985,35784
12/7/1985,35784
12/9/1985,35784
12/16/1985,35784
12/20/1985,35784
12/21/1985,35784
1/3/1986,35784
1/21/1986,35784
1/25/1986,35784
1/30/1986,35784
2/4/1986,35784
2/7/1986,35784
2/9/1986,35784
2/11/1986,35784
2/11/1986,35784
2/12/1986,35784
2/15/1986,35784
3/4/1986,35784
3/7/1986,35784
3/10/1986,35784
3/15/1986,35784
3/22/1986,35784
3/26/1986,35784
3/29/1986,35784
8/23/1986,35784
8/24/1986,35784
9/19/1986,35784
9/23/1986,35784
1/10/1987,35784
2/23/1987,35784
3/9/1987,35784
8/14/1987,35784
9/2/1987,35784
9/12/1987,35784
9/14/1987,35784
9/19/1987,35784
9/29/1987,35784
9/30/1987,35784
10/2/1987,35784
10/20/1987,35784
10/28/1987,35784
10/28/1987,35784
11/5/1987,35784
11/26/1987,35784
11/28/1987,35784
1/3/1988,35784
1/5/1988,35784
2/19/1988,35784
2/26/1988,35784
3/15/1988,35784
3/20/1988,35784
5/24/1988,35784
6/23/1988,35784
7/3/1988,35784
8/11/1988,35784
9/13/1988,35784
9/25/1988,35784
12/4/1988,35784
12/19/1988,35784
12/20/1988,35784
12/24/1988,35784
12/31/1988,35784
1/12/1989,35784
1/24/1989,35784
1/25/1989,35784
1/26/1989,35784
2/10/1989,35784
2/15/1989,35784
2/21/1989,35784
3/4/1989,35784
3/8/1989,35784
3/11/1989,35784
3/16/1989,35784
4/4/1989,35784
4/12/1989,35784
8/26/1982,0
9/24/1982,35784
3/27/1983,35784
8/19/1983,35784
1/6/1984,35784
3/14/1984,35784
4/16/1984,35784
4/20/1985,35784
8/30/1985,35784
9/30/1986,35784
3/31/1988,35784
2/15/1989,35784
11/27/1984,35784
3/8/1985,35784
3/8/1985,0
10/7/1986,35784
10/24/1986,35784
10/27/1986,35784
10/27/1986,35784
11/4/1986,35784
3/2/1987,35784
3/14/1987,35784
9/9/1988,35784
12/2/1988,35784
1/20/1994,35784
1/21/1994,35784
6/19/1981,0
2/9/1985,0
3/15/1985,0
5/7/1985,0
6/1/1986,0
6/27/1985,0
7/1/1985,0
11/9/1987,35784
4/6/1967,0
8/10/1968,0
8/12/1969,0
8/27/1985,0
11/11/1985,35784
1/31/1986,35784
9/23/1986,35784
9/27/1986,35784
9/28/1986,35784
10/1/1986,35784
7/18/1987,35784
8/17/1987,35784
2/17/1988,35784
6/20/1988,35784
7/15/1988,35784
8/8/1988,35784
8/18/1988,35784
8/20/1988,35784
8/26/1988,35784
9/15/1988,35784
6/25/1989,35784
5/7/1986,35784
5/10/1986,35784
6/2/1986,35784
7/28/1986,35784
8/1/1986,35784
8/7/1986,35784
8/24/1986,35784
8/30/1986,35784
8/31/1986,35784
10/20/1986,35784
1/25/1987,35784
5/20/1987,35784
8/5/1987,35784
8/16/1987,35784
8/16/1987,35784
8/29/1987,35784
9/9/1987,35784
9/13/1987,35784
9/19/1987,35784
10/2/1987,35784
12/2/1987,35784
3/12/1988,35784
4/9/1988,35784
7/2/1988,35784
7/12/1988,35784
7/20/1988,35784
9/28/1988,35784
11/23/1988,35784
1/12/1989,35784
3/24/1989,35784
4/9/1989,35784
5/29/1990,35784
9/24/1990,35784
10/18/1990,35784
10/1/1987,35784
10/1/1987,35784
11/28/1987,35784
2/25/1988,35784
3/31/1988,35784
7/26/1988,35784
8/17/1988,35784
9/8/1988,35784
9/15/1988,35784
1/1/1989,35784
4/20/1989,35784
5/2/1989,35784
5/28/1989,35784
6/19/1989,35784
8/31/1989,35784
5/29/1990,35784
9/15/1990,35784
10/20/1990,35784
10/27/1990,35784
4/18/1986,0
2/9/1985,0
2/9/1985,0
2/9/1985,0
3/16/1985,0
3/16/1985,0
3/16/1985,0
3/16/1985,0
5/9/1987,35784
10/21/1987,35784
8/13/1989,35784
8/13/1989,35784
9/29/1989,35784
10/19/1989,35784
3/28/1986,0
3/28/1986,0
3/28/1986,0
3/28/1986,0
3/28/1986,0
1/22/1988,35784
9/29/1989,35784
10/19/1989,35784
6/28/1990,35784
3/23/1985,0
3/28/1985,0
5/3/1985,0
